producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria
47,2025-02-21 17:23:50,AMD Ryzen 7 7700X 4.5 GHz Box sin Ventilador,https://www.pccomponentes.com/amd-ryzen-7-7700x-45-ghz-box-sin-ventilador,"348,39€",488€,"4,7/5",341 opiniones,Procesadores
48,2025-02-21 17:23:50,AMD Ryzen 9 9950X 4.3/5.7GHz,https://www.pccomponentes.com/procesador-amd-ryzen-9-9950x-43-57ghz,669€,739€,"4,8/5",29 opiniones,Procesadores
49,2025-02-21 17:23:50,AMD Ryzen 5 5600X 3.7GHz,https://www.pccomponentes.com/amd-ryzen-5-5600x-37ghz,"144,95€",376€,"4,8/5",4353 opiniones,Procesadores
50,2025-02-21 17:23:50,AMD Ryzen 5 7600 3.8/5.1 GHz Box,https://www.pccomponentes.com/amd-ryzen-5-7600-38-51-ghz-box,"219,99€",284€,"4,7/5",290 opiniones,Procesadores
51,2025-02-21 17:23:50,AMD Ryzen 9 7950X3D 4.2 GHz/5.7 GHz,https://www.pccomponentes.com/amd-ryzen-9-7950x3d-42-ghz-57-ghz,699€,855€,"4,8/5",138 opiniones,Procesadores
52,2025-02-21 17:23:50,AMD Ryzen 5 5500 3.6GHz Box,https://www.pccomponentes.com/amd-ryzen-5-5500-36ghz-box,"88,63€",189€,"4,7/5",2045 opiniones,Procesadores
53,2025-02-21 17:23:50,AMD Ryzen 9 5900X 3.7 GHz,https://www.pccomponentes.com/amd-ryzen-9-5900x-37-ghz,279€,691€,"4,8/5",1282 opiniones,Procesadores
54,2025-02-21 17:23:50,AMD Ryzen 9 9900X 4.4/5.6GHz,https://www.pccomponentes.com/procesador-amd-ryzen-9-9900x-44-56ghz,"494,86€",,"4,9/5",40 opiniones,Procesadores
55,2025-02-21 17:23:50,AMD Ryzen 5 5600G 4.40GHz,https://www.pccomponentes.com/amd-ryzen-5-5600g-440ghz,140€,319€,"4,7/5",2414 opiniones,Procesadores
56,2025-02-21 17:23:50,AMD Ryzen 9 7950X 4.5 GHz Box sin Ventilador,https://www.pccomponentes.com/amd-ryzen-9-7950x-45-ghz-box-sin-ventilador,"549,84€",855€,"4,8/5",131 opiniones,Procesadores
57,2025-02-21 17:23:50,AMD Ryzen 5 5600 3.5GHz Box,https://www.pccomponentes.com/amd-ryzen-5-5600-35ghz-box,"138,99€",235€,"4,8/5",861 opiniones,Procesadores
58,2025-02-21 17:23:50,AMD Ryzen 9 7900X 4.7 GHz Box sin Ventilador,https://www.pccomponentes.com/amd-ryzen-9-7900x-47-ghz-box-sin-ventilador,"409,99€",671€,"4,7/5",271 opiniones,Procesadores
59,2025-02-21 17:23:50,AMD Ryzen 5 9600X 3.9/5.4GHz,https://www.pccomponentes.com/procesador-amd-ryzen-5-9600x-39-54ghz,274€,"304,99€","4,3/5",35 opiniones,Procesadores
60,2025-02-21 17:23:50,AMD Ryzen 7 7700 3.8/5.3 GHz Box,https://www.pccomponentes.com/amd-ryzen-7-7700-38-53-ghz-box,"335,60€",407€,"4,7/5",90 opiniones,Procesadores
61,2025-02-21 17:23:50,AMD Ryzen 7 8700G 4.2/5.1GHz Box,https://www.pccomponentes.com/amd-ryzen-7-8700g-42-51ghz-box,279€,"300,99€","4,4/5",31 opiniones,Procesadores
62,2025-02-21 17:24:02,Intel Core i7-14700KF 3.4/5.6GHz Box,https://www.pccomponentes.com/intel-core-i7-14700kf-34-56ghz-box,"410,48€",499€,"4,7/5",281 opiniones,Intel
63,2025-02-21 17:24:02,Intel Core i5-13400F 2.5 GHz/4.6 GHz,https://www.pccomponentes.com/intel-core-i5-13400f-25-ghz-46-ghz,"155,94€",,"4,7/5",355 opiniones,Intel
64,2025-02-21 17:24:02,Intel Core i5-14600KF 3.5/5.4GHz Box,https://www.pccomponentes.com/intel-core-i5-14600kf-35-54ghz-box,"249,95€","329,99€","4,6/5",289 opiniones,Intel
65,2025-02-21 17:24:02,Intel Core i5-14400F 2.5/4.7GHz Box,https://www.pccomponentes.com/intel-core-i5-14400f-25-47ghz-box,"153,95€","239,90€","4,7/5",140 opiniones,Intel
66,2025-02-21 17:24:02,Intel Core i5-13400 2.5 GHz/4.6 GHz,https://www.pccomponentes.com/intel-core-i5-13400-25-ghz-46-ghz,"173,99€",,"4,8/5",90 opiniones,Intel
67,2025-02-21 17:24:02,Intel Core i5-12400 2.5 GHz,https://www.pccomponentes.com/intel-core-i5-12400-25-ghz,"163,99€","199,99€","4,7/5",244 opiniones,Intel
68,2025-02-21 17:24:02,Intel Core i9-14900K 3.2/6GHz Box,https://www.pccomponentes.com/intel-core-i9-14900k-32-6ghz-box,529€,"599,99€","4,5/5",165 opiniones,Intel
69,2025-02-21 17:24:02,Intel Core i5-12400F 2.5 GHz,https://www.pccomponentes.com/intel-core-i5-12400f-25-ghz,"121,99€","169,99€","4,8/5",2249 opiniones,Intel
