producto_id,Processor Speed,Processor Cores,RAM Gbs,Storage Gbs,Display Inches,GPU Model,USB Ports,Operating System,Weight,Battery mAh
191,2.3,8.0,16.0,1000.0,16.0,AMD,4.0,macOS,2 kg,
192,2.3,8.0,16.0,1000.0,16.0,AMD,4.0,macOS,2,
193,2.4,8.0,32.0,2048.0,16.0,AMD,4.0,macOS,2,
194,2.4,8.0,32.0,2048.0,16.0,AMD,4.0,macOS,2,
195,,,,,,,,,,
196,,,,,,,,,,
197,,,,,,,,,,
198,1.0,4.0,8.0,512.0,15.6,Intel,5.0,Windows,1.8,
199,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,90
200,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,,,
201,2.9,8.0,16.0,512.0,15.6,NVidia,3.0,,,80
202,,,,,,,,,,
203,4.0,8.0,16.0,512.0,15.6,NVidia,5.0,,2.4,
204,,,16.0,512.0,15.6,NVidia,4.0,Windows,2.7,90
205,,0.0,,,,,,,,
206,3.2,8.0,16.0,512.0,14.0,NVidia,2.0,,,
207,,,,,,,,,,
208,,,,,,,0.0,,,
209,,,,,,,,,,
210,1.4,8.0,16.0,512.0,15.6,NVidia,3.0,,2.2,90
211,,8.0,16.0,512.0,15.6,NVidia,5.0,,2.2,
212,,,,,,,,,,
213,,0.0,,,,,0.0,,,
214,,,,,,,,,,
215,,,,,,,,,,
216,4.2,4.0,16.0,512.0,14.0,Intel,5.0,Windows,1.4,
217,,,8.0,,35.98,,4.0,Windows,1.80 kg,70 Wh (approx.)
218,5.0,,16.0,1.0,13.3,Intel,4.0,Windows,1,
219,,,,,,,,,,
220,5.0,14.0,32.0,1000.0,15.6,NVidia,4.0,Windows,2.1,
221,5.0,14.0,32.0,2000.0,15.6,NVidia,4.0,Windows,2.1kg,
222,4.2,4.0,8.0,256.0,14.0,Intel,5.0,Windows,1.52 kg,
223,,0.0,,,,,,,,
224,4.8,2.0,16.0,512.0,14.0,Intel,5.0,Windows,1.54 kg,
225,,,,,,,,,,
226,,,,,,,,,,
227,,,8.0,256.0,,,4.0,Windows,1.78,
228,3.2,8.0,16.0,512.0,15.6,NVidia,2.0,,,
229,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
230,3.5,8.0,16.0,512.0,15.6,NVidia,2.0,Windows,,
231,,,,,,,,,,
232,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,1.48,
233,1.8,4.0,16.0,512.0,14.0,Intel,5.0,Windows,1.47 kg,
234,4.0,8.0,16.0,512.0,,,2.0,Windows,1.39kg,54Wh
235,4.0,4.0,8.0,256.0,14.0,,3.0,Windows,1.39,5200
236,2.8,4.0,16.0,512.0,,NVidia,2.0,Windows,1.39,4400
237,2.7,4.0,16.0,512.0,,Intel,2.0,Windows,1.39,
238,,,,,,,0.0,,,
239,,,,,,,,,,
240,2.8,16.0,64.0,1000.0,15.6,NVidia,3.0,,,
241,,,,,,,,,,
242,1.6,4.0,8.0,256.0,15.6,Intel,5.0,Windows,1.82 kg,
243,,,,,,,,,,
244,2.7,4.0,16.0,512.0,14.0,Intel,2.0,Windows,1.61,
245,4.7,8.0,16.0,512.0,15.6,NVidia,2.0,,,
246,,,,,,,,,,
247,,,,,,,,,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,3.0,8.0,16.0,512.0,15.6,NVidia,2.0,,,
254,,,,,,,,,,
255,,,,,,,,,,
256,1.9,4.0,16.0,512.0,14.0,Intel,3.0,Windows,1.35 kg,
257,1.8,4.0,16.0,512.0,14.0,Intel,3.0,Windows,1.33 kg,
258,4.8,4.0,16.0,512.0,14.0,Intel,3.0,Windows,1.22,
259,,,,,,,,,,
260,4.7,8.0,16.0,512.0,15.6,Intel,3.0,Windows,,
261,,0.0,,,,,,,,
262,,,,,,,,,,
263,,,,,,,,,,
264,,,,,,,,,,
265,,,,,,,,,,
266,,,,,,,,,,
267,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,,,
268,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,
269,3.5,16.0,64.0,1024.0,17.3,NVidia,2.0,,,
270,1.8,4.0,16.0,512.0,,NVidia,2.0,Windows,1.62,54
271,,0.0,0.0,0.0,0.0,,0.0,,0,0
272,2.7,8.0,16.0,512.0,15.6,NVidia,2.0,Windows,,
273,,,,,,,,,,
274,2.3,8.0,16.0,512.0,15.6,NVidia,2.0,,,72000
275,,,,,,,,,,
276,,,,,,,,,,
277,5.4,14.0,32.0,1.0,16.0,NVidia,3.0,Windows,1.91,
278,,,,,,,,,,
279,4.7,14.0,16.0,512.0,17.0,NVidia,4.0,Windows,2.57 kg,
280,,,,,15.6,NVidia,4.0,Windows,2.3,
281,,6.0,16.0,512.0,15.6,NVidia,2.0,Windows,2.6 kg,83 Wh
282,5.0,4.0,64.0,1024.0,14.0,NVidia,3.0,Windows,2.6,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,4.3,8.0,16.0,512.0,15.6,AMD,3.0,Windows,1.94 kg,
287,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
288,,,,,,,,,,
289,4.6,12.0,16.0,512.0,16.0,NVidia,3.0,Windows,1.9 kg,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,2.4,4.0,8.0,256.0,15.6,Intel,3.0,macOS,1.76 kg,
295,4.8,16.0,48.0,512.0,15.6,NVidia,5.0,macOS,2.12,
296,,0.0,,,,,,,,
297,,,,,,,,,,
298,5.0,,16.0,1000.0,16.0,NVidia,3.0,Windows,1.9 kg,
299,,4.0,16.0,512.0,15.6,NVidia,3.0,Windows,2.1,
300,,,,,,,,,,
301,2.8,6.0,16.0,512.0,14.0,NVidia,3.0,Windows,,78000
302,2.8,4.0,16.0,512.0,15.6,NVidia,3.0,,,
303,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,
304,,,,,,,,,,
305,3.7,14.0,16.0,512.0,15.6,NVidia,5.0,Windows,2.25,
306,3.7,14.0,16.0,512.0,15.6,NVidia,5.0,Windows,2.25,
307,,,,,,,,,,
308,,0.0,0.0,0.0,0.0,,0.0,,,
309,,,,,,,,,,
310,,,,,,,,,,
311,,0.0,,,,,,,,
312,,,,,,,,,,
313,,,,,,,,,,
314,,,,,,,,,,
315,3.0,8.0,16.0,512.0,15.6,NVidia,2.0,,,5600
316,,,,,,,,,,
317,,,16.0,512.0,15.6,NVidia,2.0,Windows,,
318,,8.0,16.0,512.0,14.0,NVidia,4.0,,,86000
319,3.2,8.0,32.0,512.0,15.6,NVidia,2.0,,,
320,,,,,,,,,,
321,,,,,,,,,,
322,,,,,,,,,,
323,,,,,,,,,,
324,1.5,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,
325,,8.0,16.0,512.0,15.6,NVidia,3.0,,,
326,,,,,,,,,,
327,,,,,,,,,,
328,,8.0,64.0,512.0,15.6,NVidia,3.0,Windows,2.5,
329,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,
330,,4.0,16.0,512.0,15.6,NVidia,2.0,Windows,2.08,54000
331,4.7,8.0,16.0,1000.0,15.6,NVidia,11.0,,1.9 kg,
332,2.5,4.0,16.0,512.0,15.6,NVidia,2.0,FreeDOS,2.08,
333,,,,,,,,,,
334,,,,,,,,,,
335,,2.0,8.0,512.0,,AMD,2.0,,,
336,,8.0,16.0,512.0,15.6,NVidia,2.0,Windows,,
337,4.0,4.0,8.0,512.0,15.6,AMD,4.0,Windows,1.59,
338,4.3,8.0,8.0,512.0,15.6,AMD,4.0,Windows,1.59,
339,2.0,4.0,8.0,256.0,14.0,,3.0,Windows,1.59,
340,,,,,,,,,,
341,,,,,,,,,,
342,,,,,,,,,,
343,4.6,10.0,8.0,512.0,15.6,Intel,3.0,Windows,1.59kg,
344,,,,,,,,,,
345,,,,,,,,,,
346,,0.0,,,,,,,,
347,,,,,,,,,,
348,,0.0,,,,,,,,
349,2.7,8.0,16.0,512.0,15.6,NVidia,3.0,,,90
350,,0.0,0.0,0.0,0.0,,0.0,,0,0
351,4.1,4.0,8.0,256.0,15.6,AMD,3.0,Windows,1.59 kg,
352,3.0,,8.0,512.0,14.0,,2.0,FreeDOS,1.59,
353,2.8,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,80
354,,4.0,8.0,256.0,14.0,,2.0,Windows,1.59,
355,4.0,10.0,16.0,512.0,15.6,Intel,3.0,Windows,1.59,
356,,,,,,,,,,
357,4.0,6.0,8.0,512.0,15.6,AMD,3.0,Windows,1.69 kg,
358,4.0,6.0,8.0,512.0,15.6,AMD,4.0,Windows,1.69,41
359,,,,,,,0.0,,,
360,4.3,8.0,12.0,512.0,15.6,AMD,4.0,Windows,1.69 kg,
361,,,,,,,,,,
362,2.0,4.0,8.0,256.0,15.6,,3.0,Windows,1.69,
363,4.2,4.0,8.0,512.0,15.6,Intel,4.0,Windows,1.69,
364,,,,,,,0.0,,,
365,2.4,8.0,16.0,512.0,15.6,NVidia,3.0,Windows,,
366,5.0,4.0,16.0,512.0,15.6,Intel,3.0,FreeDOS,1.69 kg,
367,4.5,4.0,8.0,256.0,15.6,Intel,3.0,FreeDOS,1.69,
368,5.0,4.0,8.0,512.0,15.6,Intel,3.0,Windows,1.69,
369,4.4,10.0,8.0,512.0,15.6,Intel,4.0,Windows,1.69,
370,4.0,10.0,16.0,512.0,15.6,,3.0,Windows,1.69,
371,4.4,10.0,8.0,512.0,15.6,Intel,3.0,FreeDOS,1.69,
372,,4.0,8.0,256.0,15.6,,3.0,FreeDOS,1.69,41
373,2.5,4.0,8.0,512.0,14.0,,1.0,FreeDOS,1.69,
374,,0.0,0.0,0.0,0.0,,0.0,,,
375,3.8,4.0,8.0,256.0,15.6,AMD,3.0,Windows,1.69,
376,4.3,8.0,12.0,512.0,15.6,AMD,5.0,Windows,1.69 kg,
377,4.0,6.0,16.0,512.0,15.6,AMD,3.0,Windows,1.69 kg,
378,,0.0,,,,,,,,
379,,,,,,,,,,
380,,,,,,,,,,
381,4.7,10.0,16.0,512.0,15.6,Intel,3.0,FreeDOS,1.69,
382,,0.0,,,,,0.0,,,
383,4.0,2.0,8.0,512.0,17.3,,4.0,Windows,2.08,
384,4.5,6.0,8.0,256.0,15.6,Intel,3.0,Windows,2.35,
385,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,90
386,5.0,10.0,16.0,512.0,15.6,Intel,4.0,Windows,1.52,
387,,0.0,,,,,0.0,,,
388,2.4,8.0,16.0,512.0,15.6,Intel,3.0,Windows,1.74 kg,
389,,8.0,8.0,256.0,15.6,Intel,4.0,Windows,1.74,123000
390,2.4,4.0,8.0,256.0,15.6,Intel,3.0,Windows,1.74 kg,
391,4.2,4.0,8.0,256.0,15.6,Intel,3.0,Windows,1.74,
392,2.4,4.0,8.0,512.0,15.6,Intel,4.0,Windows,1.74,
393,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
394,2.5,8.0,16.0,512.0,15.6,NVidia,3.0,,,
395,,,,,,,,,,
396,,0.0,,,,,,,,
397,,,,,,,,,,
398,,0.0,,,,,,,,
399,2.3,8.0,16.0,512.0,15.6,NVidia,2.0,,,90
400,,,,,,,,,,
401,1.8,,16.0,512.0,14.0,,3.0,Windows,1.52,3600
402,,,,,,,,,,
403,,,,,,,,,,
404,,,,,,,,,,
405,,,,,,,,,,
406,,0.0,,,,,,,,
407,,,,,,,,,,
408,,,,,,,,,,
409,,,,,,,,,,
