producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones
1073,2025-02-28 13:26:58,"Portátil ASUS ExpertBook B5 B5404CMA-Q50750X Intel Core Ultra 5 125U/16GB/512GB SSD/14""",https://www.pccomponentes.com/portatil-asus-expertbook-b5-b5404cma-q50750x-intel-core-ultra-5-125u-16gb-512gb-ssd-14,"1046,80€",0,0,0
1074,2025-02-28 13:27:13,"Portátil ASUS ExpertBook B5 B5404CMA-Q70062X Intel Core Ultra 7 155U/16GB/512GB SSD/14"" Teclado Fran",https://www.pccomponentes.com/portatil-asus-expertbook-b5-b5404cma-q70062x-intel-core-ultra-7-155u-16gb-512gb-ssd-14-teclado-frances,"1646,20€",0,"3,8/5",271 valoraciones
1075,2025-02-28 13:27:27,"Portátil ASUS Expertbook B1 B1502CVA-BQ0883W Intel Core i7-1355U/16GB/512GB SSD/15.6""",https://www.pccomponentes.com/portatil-asus-expertbook-b1-b1502cva-bq0883w-intel-core-i7-1355u-16gb-512gb-ssd-156,"807,19€",0,"4,7/5",7.386 valoraciones
1076,2025-02-28 13:27:41,"ASUS F1400EA-EB1593 Intel Core i7-1165G7/16GB/512GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/asus-f1400ea-eb1593-intel-core-i7-1165g7-16gb-512gb-ssd-14,0,0,"4,6/5",0
1077,2025-02-28 13:27:56,"Portátil ASUS ProArt PX13 OLED HN7306WV-LX002X AMD Ryzen AI 9 HX 370/32GB/1TB SSD/RTX 4060/13.3"" Tác",https://www.pccomponentes.com/portatil-asus-proart-px13-oled-hn7306wv-lx002x-amd-ryzen-ai-9-hx-370-32gb-1tb-ssd-rtx-4060-133-tactil-teclado-frances,"2469,51€",0,"3,8/5",271 valoraciones
1078,2025-02-28 13:28:10,"ASUS ProArt StudioBook Pro 16 OLED W7604J3D-MY012X Intel Core i9-13980HX/64GB/1TB SSD/RTX 3000/16"" T",https://www.pccomponentes.com/asus-proart-studiobook-pro-16-oled-w7604j3d-my012x-intel-core-i9-13980hx-64gb-1tb-ssd-rtx-3000-16-tactil-teclado-frances,"4333,03€",0,"4,5/5",983 valoraciones
1079,2025-02-28 13:28:26,ASUS ROG Flow X16 2023 GV601VI-NL017W Intel Core i9-13900H/32GB/1TB SSD/RTX 4070/16'' Táctil Reacondicionado,https://www.pccomponentes.com/asus-rog-flow-x16-2023-gv601vi-nl017w-intel-core-i9-13900h-32gb-1tb-ssd-rtx-4070-16-tactil,"2132,85€",0,"4,8/5",0
1080,2025-02-28 13:28:40,ASUS ROG Flow X16 2023 GV601VV-NF015W Intel Core i9-13900H/16GB/1TB SSD/RTX 4060/16'' Táctil Reacondicionado,https://www.pccomponentes.com/asus-rog-flow-x16-2023-gv601vv-nf015w-intel-core-i9-13900h-16gb-1tb-ssd-rtx-4060-16-tactil,"1604,05€",0,"4,4/5",0
1081,2025-02-28 13:28:56,"ASUS ROG Strix G16 G614JI-N3163 Intel Core i7-13650HX/32GB/1TB SSD/RTX 4070/16""",https://www.pccomponentes.com/asus-rog-strix-g16-g614ji-n3163-intel-core-i7-13650hx-32gb-1tb-ssd-rtx-4070-16,0,0,"4,7/5",0
1082,2025-02-28 13:29:10,"Portátil ASUS ROG Strix G16 G614JI-N4081 Intel Core i7-13650HX/32GB/1TB SSD/RTX 4070/16"" Reacondicionado",https://www.pccomponentes.com/portatil-asus-rog-strix-g16-g614ji-n4081-intel-core-i7-13650hx-32gb-1tb-ssd-rtx-4070-16,"1448,00€",0,"4,7/5",0
1083,2025-02-28 13:29:24,"ASUS ROG Strix G16 G614JV-N4008 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4060/16"" Reacondicionado",https://www.pccomponentes.com/asus-rog-strix-g16-g614jv-n4008-intel-core-i9-13980hx-32gb-1tb-ssd-rtx-4060-16,0,0,"4,6/5",0
1084,2025-02-28 13:29:38,"ASUS ROG Strix G17 G713PI-HX004 AMD Ryzen 9 7945HX/32GB/1TB SSD/RTX 4070/17.3"" Reacondicionado",https://www.pccomponentes.com/asus-rog-strix-g17-g713pi-hx004-amd-ryzen-9-7945hx-32gb-1tb-ssd-rtx-4070-173,0,0,"4,6/5",0
1085,2025-02-28 13:29:53,"ASUS ROG Strix G17 G713RW-LL009 AMD Ryzen 9 6900HX/32GB/1TB SSD/RTX 3070Ti/17.3"" Reacondicionado",https://www.pccomponentes.com/asus-rog-strix-g17-g713rw-ll009-amd-ryzen-9-6900hx-32gb-1tb-ssd-rtx-3070ti-173,0,0,"4,7/5",0
1086,2025-02-28 13:30:09,"Portátil ASUS ROG Strix SCAR 18 G835LW-SA077W Intel Core Ultra 9 275HX/64GB/2TB SSD/RTX 5080/18""",https://www.pccomponentes.com/portatil-asus-rog-strix-scar-18-g835lw-sa077w-intel-core-ultra-9-275hx-64gb-2tb-ssd-rtx-5080-18,"4099,00€",0,0,0
1087,2025-02-28 13:30:25,"ASUS ROG Zephyrus G14 2023 GA402XV-N2028W AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4060/14""",https://www.pccomponentes.com/asus-rog-zephyrus-g14-2023-ga402xv-n2028w-amd-ryzen-9-7940hs-32gb-1tb-ssd-rtx-4060-14,"2499,00€",0,"4,2/5",0
1088,2025-02-28 13:30:41,"ASUS ROG Zephyrus G14 2023 GA402XV-N2041 AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4060/14"" Reacondicionado",https://www.pccomponentes.com/asus-rog-zephyrus-g14-2023-ga402xv-n2041-amd-ryzen-9-7940hs-32gb-1tb-ssd-rtx-4060-14,0,0,"4,6/5",0
1089,2025-02-28 13:30:56,"ASUS ROG Zephyrus G14 GA401QC-K2175 AMD Ryzen 7 5800HS/16GB/1TB SSD/RTX 3050/14"" Reacondicionado",https://www.pccomponentes.com/asus-rog-zephyrus-g14-ga401qc-k2175-amd-ryzen-7-5800hs-16gb-1tb-ssd-rtx-3050-14,0,0,"4,6/5",0
