producto_id,timestamp,nombre,url,precio,precio_tachado,rating,opiniones,categoria_id,descuento_porcentaje,marca
228,2025-02-28 09:41:59,"Portátil Dell Latitude 3550 Intel Core i5-1335U/16GB/512GB SSD/15.6"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-3550-intel-core-i5-1335u-16gb-512gb-ssd-156-teclado-frances,1119.98,1119.98,3.8,271,4,0.0,Desconocida
229,2025-02-28 09:42:15,"Portátil Dell Latitude 3550 Intel Core i5-1335U/8GB/512GB SSD/15.6"" Windows 11 Pro FR",https://www.pccomponentes.com/portatil-dell-latitude-3550-intel-core-i5-1335u-8gb-512gb-ssd-156-windows-11-pro-fr,986.17,986.17,3.8,271,4,0.0,Desconocida
230,2025-02-28 09:42:28,"Dell Latitude 5320 Intel Core i5-1135G7/8GB/256GB SSD/13.3"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-5320-intel-core-i5-1135g7-8gb-256gb-ssd-133,485.36,485.36,4.3,133,8,0.0,Desconocida
231,2025-02-28 09:42:49,"Portátil Dell Latitude 5350 Intel Core i5-1335U/16GB/512GB SSD/13"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-5350-intel-core-i5-1335u-16gb-512gb-ssd-13-teclado-frances,1334.03,1334.03,3.8,271,4,0.0,Desconocida
232,2025-02-28 09:43:05,"Portátil Dell Latitude 5400 Intel Core i5-8365U/8GB/256GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/portatil-dell-latitude-5400-intel-core-i5-8365u-8gb-256gb-ssd-14,262.0,262.0,5.0,139,8,0.0,Desconocida
233,2025-02-28 09:43:22,"Dell Latitude 5410 Intel Core i7-10610U/16GB/512GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-5410-intel-core-i7-10610u-16gb-512gb-ssd-14,537.73,537.73,4.3,133,1,0.0,Desconocida
234,2025-02-28 09:43:36,"Portátil Dell Latitude 5440 Intel Core i5-1335U/16GB/256GB SSD/14"" Teclado Alemán",https://www.pccomponentes.com/portatil-dell-latitude-5440-intel-core-i5-1335u-16gb-256gb-ssd-14-teclado-aleman,1068.72,1068.72,4.5,983,4,0.0,Desconocida
235,2025-02-28 09:43:51,"Dell Latitude 5440 Intel Core i5-1335U/16GB/512GB SSD/14"" Reacondicionado",https://www.pccomponentes.com/dell-latitude-5440-intel-core-i5-1335u-16gb-512gb-ssd-14,953.87,953.87,4.5,7386,8,0.0,Desconocida
236,2025-02-28 09:44:07,"Portátil Dell Latitude 5440 Intel Core i7-1355U/16GB/512GB SSD/14"" Teclado Portugués",https://www.pccomponentes.com/portatil-dell-latitude-5440-intel-core-i7-1355u-16gb-512gb-ssd-14-teclado-portugues,1378.9,1378.9,4.4,148,1,0.0,Desconocida
237,2025-02-28 09:44:26,"Portátil Dell Latitude 5440 Intel Core i7-1365U/16GB/512GB SSD/14"" Teclado Alemán",https://www.pccomponentes.com/portatil-dell-latitude-5440-intel-core-i7-1365u-16gb-512gb-ssd-14-teclado-aleman,1999.75,1999.75,4.5,983,1,0.0,Desconocida
238,2025-02-28 09:44:47,"Portátil Dell Latitude 5450 Intel Core Ultra 5 125U/16GB/512GB SSD/14"" Teclado Francés",https://www.pccomponentes.com/portatil-dell-latitude-5450-intel-core-ultra-5-125u-16gb-512gb-ssd-14-teclado-frances,1192.14,1192.14,3.8,271,2,0.0,Desconocida
