producto_id,precio,opiniones,rating,Processor Cores,Processor Speed,RAM Gbs,Storage Gbs,marca,marca_encoded,cluster
813,649.0,0,4.362676056338028,4.0,2.4,8.0,512.0,HP,5,0
814,599.97,42,4.3,6.0,2.9,32.0,1000.0,Desconocida,4,0
816,345.0,0,4.5,6.0,4.4,8.0,256.0,Lenovo,6,0
821,524.0,87,4.6,7.282442748091603,4.6,8.0,512.0,Lenovo,6,0
823,898.99,0,3.7,8.0,4.5,16.0,512.0,ASUS,0,0
826,2389.0,0,4.5,16.0,5.1,32.0,1024.0,ASUS,0,1
831,791.95,0,5.0,8.0,2.0,16.0,512.0,Desconocida,4,0
832,497.0,0,4.3,8.0,4.6,8.0,512.0,Lenovo,6,0
833,1579.0,0,4.9,16.0,4.8,32.0,458.2550607287449,MSI,7,1
837,999.0,0,4.5,10.0,5.0,16.0,512.0,HP,5,1
839,638.19,0,4.2,8.0,2.5,16.0,512.0,Desconocida,4,0
840,479.0,1422,4.5,6.0,4.5,16.0,512.0,Lenovo,6,0
845,669.0,0,4.2,10.0,4.7,32.0,458.2550607287449,HP,5,1
846,829.0,0,4.5,12.0,4.3,16.0,512.0,HP,5,1
848,774.09,0,4.1,6.0,2.3,8.0,256.0,Lenovo,6,0
851,349.0,0,4.4,7.282442748091603,2.4,8.0,256.0,HP,5,0
852,919.41,7386,4.9,10.0,3.7,16.0,1.0,ASUS,0,2
856,1399.0,0,4.5,16.0,1.4,32.0,512.0,Desconocida,4,1
858,589.0,0,4.3,8.0,4.5,16.0,512.0,ASUS,0,0
861,999.0,0,5.0,8.0,3.4,16.0,512.0,HP,5,0
863,519.0,1422,4.1,6.0,1.2,16.0,512.0,Lenovo,6,0
864,589.0,0,4.362676056338028,4.0,2.5,8.0,256.0,ASUS,0,0
867,1629.99,0,4.0,7.282442748091603,4.0,16.0,458.2550607287449,Desconocida,4,0
869,1649.99,0,4.2,16.0,5.0,17.595744680851062,458.2550607287449,PcCom,8,1
871,546.32,7386,4.4,8.0,4.5,16.0,512.0,ASUS,0,2
873,1123.96,7386,4.4,14.0,3.7,16.0,458.2550607287449,Desconocida,4,2
874,531.71,0,4.5,10.0,4.4,8.0,512.0,HP,5,0
875,1799.0,0,3.6,16.0,4.8,32.0,458.2550607287449,HP,5,1
876,1349.0,0,4.5,8.0,4.7,16.0,512.0,HP,5,1
881,299.0,2404,4.1,2.0,4.2,8.0,512.0,Desconocida,4,0
884,1126.0,1422,4.8,10.0,4.9,16.0,1.0,ASUS,0,1
885,958.11,0,4.362676056338028,16.0,4.8,32.0,1.0,HP,5,1
886,699.0,1797,4.5,8.0,4.5,32.0,512.0,HP,5,1
887,1199.0,0,4.5,12.0,4.8,16.0,1.0,HP,5,1
888,839.0,0,4.7,4.0,2.0,8.0,256.0,HP,5,0
889,999.0,58,5.0,14.0,1.2,16.0,512.0,Desconocida,4,0
890,629.9,1422,4.8,12.0,2.1,16.0,512.0,Lenovo,6,0
891,299.99,61,4.5,2.0,2.9,16.0,512.0,Desconocida,4,0
899,669.0,0,4.5,10.0,4.6,16.0,512.0,HP,5,1
900,989.01,0,4.8,12.0,4.3,16.0,512.0,HP,5,1
901,1699.0,0,4.5,16.0,1.4,32.0,2048.0,Desconocida,4,1
902,1049.0,0,4.362676056338028,10.0,5.0,16.0,512.0,Lenovo,6,1
904,489.9,1422,4.4,6.0,4.5,8.0,512.0,Lenovo,6,0
905,488.99,87,4.3,8.0,2.1,8.0,512.0,Lenovo,6,0
907,1335.92,7386,4.9,10.0,4.9,32.0,458.2550607287449,MSI,7,2
909,1246.0,10350,4.7,12.0,4.8,16.0,1.0,ASUS,0,2
910,649.0,0,4.7,7.282442748091603,4.3,32.0,1000.0,Acer,1,1
914,1658.99,0,4.5,8.0,4.0,16.0,512.0,HP,5,1
915,269.6,7386,4.6,4.0,2.8,4.0,64.0,Lenovo,6,2
916,1489.99,0,4.0,7.282442748091603,4.0,16.0,512.0,Desconocida,4,0
918,1745.24,7386,4.7,8.0,2.9,16.0,512.0,Desconocida,4,2
922,899.01,0,4.6,10.0,4.6,16.0,512.0,HP,5,1
